Brand,Model,Variant / Trim,Make Year,Make Month,Registration Year,Car Age (years),Fuel Type,BS Norm,Transmission Type,Transmission Subtype,Kilometres Driven,Number of Previous Owners,Insurance Validity,Insurance Type,RTO,Car Location,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Parts Evaluated,Meter Tampered,Flooded,Core Structure Intact,Next Service Due,Price (INR),Depreciation_Category,Value_Score,Country Of Origin
Kia,Sonet,GTX Plus 1.5,2021,Jan,2021,4,Diesel,,Manual,Regular,53000,1st Owner,Jan-27,Comprehensive,TS07,"Kukatpally, Hyderabad",9,9.7,9.3,8.9,8.8,8.3,1576,No,No,Yes,"12 months or 10,000 km",803244,Medium,7.5,South Korea
Kia,Seltos,HTX 1.5,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,49000,1st Owner,Mar-27,Comprehensive,TS15,"Kukatpally, Hyderabad",9.65,9.8,9.7,9.1,,10,19,No,No,Yes,"12 months or 10,000 km",1029600,Low,7.3,South Korea
Kia,Seltos,HTX Plus 1.5 Diesel,2020,Jan,2020,5,Diesel,BSVI,Manual,Regular,74000,1st Owner,Jan-27,Third Party,AP39,"Kukatpally, Hyderabad",8.92,9.7,9.5,8.8,8.5,8.1,1576,No,No,Yes,"12 months or 10,000 km",928800,High,6.9,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Aug,2020,5,Petrol,BSVI,Automatic,DCT,80000,2nd Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",9.14,9.7,9.5,9,8.8,8.7,1452,No,No,Yes,No immediate servicing required,839200,High,6.4,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Jan,2020,5,Petrol,BSVI,Automatic,DCT,110000,2nd Owner,Feb-27,Comprehensive,TS07,"Kukatpally, Hyderabad",8.66,9.6,9.2,8.7,8,7.8,1452,No,No,Yes,No immediate servicing required,817600,Very High,6.7,South Korea
Hyundai,Creta,SX 1.5 Petrol IVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,102000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",8.78,9.6,9.3,8.6,8.4,8,1452,No,No,Yes,"12 months or 10,000 km",968764,High,6.8,South Korea
Volkswagen,Taigun,Topline 1.0 TSI MT,2023,Nov,2023,3,Petrol,BSVI,Manual,Regular,50000,1st Owner,Aug-26,Comprehensive,TS08,"Kukatpally, Hyderabad",9.12,9.6,9.7,8.7,9.1,8.5,1573,No,No,Yes,"12 months or 15,000 km",864000,Medium,7.1,Germany
Kia,Sonet,GTX Plus 1.5,2021,Apr,2021,4,Diesel,,Manual,Regular,30000,1st Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",9.16,9.9,9,9.2,8.9,8.8,1576,No,No,Yes,"12 months or 10,000 km",835200,Medium,7.6,South Korea
Kia,Seltos,GTX Plus AT 1.5 Diesel,2020,Jan,2020,5,Diesel,BSVI,Automatic,Torque Convertor,120000,2nd Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",8.58,9.6,9.1,7.6,8.1,8.5,1432,No,No,Yes,"12 months or 10,000 km",876000,Very High,6.2,South Korea
Kia,Seltos,HTX 1.5 IVT,2022,Apr,2022,3,Petrol,BSVI,Automatic,CVT,54000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.12,9.8,9.6,9.1,8.9,8.2,1452,No,No,Yes,"12 months or 10,000 km",1022400,Medium,6.9,South Korea
Kia,Sonet,Anniversary Edition 1.5,2022,Apr,2022,3,Diesel,BSVI,Manual,Regular,69000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",8.82,9.6,9.4,8.7,8.4,8,1576,No,No,Yes,"12 months or 10,000 km",726400,High,6.5,South Korea
Kia,Seltos,HTX 1.5,2020,Jul,2020,5,Petrol,BSVI,Manual,Regular,66000,1st Owner,Aug-26,Comprehensive,AP39,"Kukatpally, Hyderabad",9.1,9.8,9.6,8.9,8.9,8.3,1573,No,No,Yes,"12 months or 10,000 km",816000,High,7.5,South Korea
Kia,Seltos,GTX Plus 1.5 Diesel AT,2021,Oct,2021,4,Diesel,BSIV,Automatic,Torque Convertor,120000,1st Owner,Nov-26,Comprehensive,TS11,"Kukatpally, Hyderabad",8.7,9.5,8.5,8.2,8.7,8.6,1432,No,No,Yes,No immediate servicing required,1007200,High,7.2,South Korea
Volkswagen,Taigun,Highline 1.0 TSI MT,2022,Mar,2022,3,Petrol,BSVI,Manual,Regular,62000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.12,9.8,9.6,9.1,8.8,8.3,1573,No,No,Yes,No immediate servicing required,764800,High,6.6,Germany
Ford,EcoSport,Trend 1.5 TDCi,2015,Aug,2015,10,Diesel,BSIV,Manual,Regular,143000,1st Owner,Apr-27,Third Party,TS13,"Uppal, Hyderabad",8.54,9.5,9.1,8.1,7.6,8.4,1576,No,No,Yes,"12 months or 10,000 km",347200,Very High,6.7,USA
Kia,Sonet,GTX Plus 1.0 DCT,2023,Jan,2023,2,Petrol,BSVI,Automatic,DCT,35000,1st Owner,Jan-27,Comprehensive,TS13,"Uppal, Hyderabad",9.3,9.9,9.7,9.3,9.4,8.2,1452,No,No,Yes,"12 months or 10,000 km",957600,Medium,7.5,South Korea
Ford,EcoSport,Titanium 1.5L Ti-VCT,2016,Nov,2016,9,Petrol,BSIV,Manual,Regular,111000,1st Owner,Nov-26,Comprehensive,TS15,"Kukatpally, Hyderabad",8.76,9.6,9.2,8.3,8.1,8.6,1573,No,No,Yes,"12 months or 10,000 km",410400,Very High,7.3,USA
Tata,Nexon,Fearless Plus 1.2 Revotron Petrol 6MT,2023,Aug,2023,2,Petrol,,Manual,Regular,28000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",9.34,9.9,9.8,8.6,9.4,9,1573,No,No,Yes,"12 months or 15,000 km",847164,Low,7.1,India
Ford,EcoSport,Titanium+ 1.5L TDCi,2016,Aug,2016,9,Diesel,BSIV,Manual,Regular,132000,1st Owner,Apr-27,Third Party,TS13,"Uppal, Hyderabad",8.12,9.1,8.4,7.2,7.9,8,1576,No,No,Yes,"12 months or 10,000 km",444000,Very High,6.5,USA
Hyundai,Alcazar,Signature 6 STR 1.5 Diesel,2023,Nov,2023,3,Diesel,BSVI,Manual,Regular,70000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.06,9.7,9.1,9,9,8.5,1576,No,No,Yes,"12 months or 10,000 km",1195164,High,6.6,South Korea
Tata,Nexon,XZA Plus (O) Dual Tone,2022,Mar,2022,3,Petrol,BSVI,Automatic,AMT,41000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9,9.8,9.6,9.1,8.5,8,1452,No,No,Yes,"12 months or 15,000 km",806400,Medium,7.3,India
Renault,Kiger,RXZ Turbo CVT Dual Tone,2022,Jan,2022,3,Petrol,BSVI,Automatic,CVT,45000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",9.26,9.8,9.7,9.4,9.1,8.3,1452,No,No,Yes,No immediate servicing required,619200,Medium,7.4,France
Kia,Seltos,HTX 1.5 IVT,2021,Aug,2021,4,Petrol,BSVI,Automatic,CVT,84000,2nd Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",8.72,9.7,9.4,8.7,8.4,7.4,1452,No,No,Yes,"12 months or 10,000 km",790400,High,6.2,South Korea
Kia,Seltos,GTX Plus 1.4 DCT,2022,Jul,2022,3,Petrol,BSVI,Automatic,DCT,41000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",9.08,9.6,9.6,9.4,8.8,8,1452,No,No,Yes,No immediate servicing required,1154400,Medium,7.3,South Korea
Mahindra,XUV500,W11 AT,2018,May,2018,7,Diesel,BSIV,Automatic,Torque Convertor,76000,1st Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",8.8,9.3,9.5,8.3,8.6,8.3,1432,No,No,Yes,"12 months or 10,000 km",973522,Very High,7.4,India
Maruti Suzuki,Brezza,ZXi Plus,2024,Sep,2024,2,Petrol,BSVI,Manual,Regular,20000,2nd Owner,Jan-27,Comprehensive,TS11,"Uppal, Hyderabad",9.66,9.9,9.9,9.7,9.5,9.3,1573,No,No,Yes,"12 months or 10,000 km",843200,Low,7.5,Japan/India
Tata,Nexon,XM Plus (S) Diesel,2023,Jan,2023,2,Diesel,BSVI,Manual,Regular,49000,1st Owner,Feb-27,Comprehensive,TS09,"Uppal, Hyderabad",9.08,9.8,9.7,8.9,8.4,8.6,1576,No,No,Yes,"12 months or 15,000 km",744000,Medium,7.1,India
Kia,Sonet,GTX Plus 1.0 DCT,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,43000,1st Owner,Nov-26,Comprehensive,TS08,"Kukatpally, Hyderabad",9.14,9.7,9.7,9,8.8,8.5,1452,No,No,Yes,"12 months or 10,000 km",751200,High,8.1,South Korea
Renault,Kiger,RXZ MT,2022,May,2022,3,Petrol,BSVI,Manual,Regular,93000,1st Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",8.72,9.7,9.3,8.3,8.2,8.1,1573,No,No,Yes,"12 months or 10,000 km",459200,High,6.4,France
Kia,Seltos,GTX Plus DCT 1.4,2019,Sep,2019,6,Petrol,BSVI,Automatic,DCT,106000,1st Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.48,9.6,9.2,8.2,8,7.4,1452,No,No,Yes,No immediate servicing required,810400,Very High,6.6,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,6,Petrol,BSVI,Automatic,DCT,109000,2nd Owner,Apr-27,Third Party,TS07,"Kukatpally, Hyderabad",8.46,9.6,8.8,7.8,8.1,8,1452,No,No,Yes,No immediate servicing required,767200,Very High,6.1,South Korea
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,6,Petrol,BSIV,Automatic,DCT,90000,1st Owner,Apr-27,Third Party,TS09,"Kukatpally, Hyderabad",8.56,9.7,9.3,7.7,8,8.1,1452,No,No,Yes,No immediate servicing required,854400,High,7.1,South Korea
MG Motors,Hector,Sharp 1.5 Petrol CVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,64000,1st Owner,Apr-27,Third Party,TS13,"Kukatpally, Hyderabad",9.26,9.8,9.6,9.3,9.3,8.3,1452,No,No,Yes,"12 months or 10,000 km",11,High,7,China/UK
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT,2023,Apr,2023,2,Petrol,BSVI,Automatic,Torque Convertor,88000,1st Owner,Apr-27,Third Party,AP39,"Uppal, Hyderabad",8.56,9.7,9.4,8.5,7.9,7.3,1452,No,No,Yes,"12 months or 10,000 km",763200,Medium,6.7,Japan/India
Renault,Kiger,RXZ Turbo CVT,2021,Mar,2021,4,Petrol,,Automatic,CVT,50000,1st Owner,Apr-27,Third Party,TS07,"Uppal, Hyderabad",8.82,9.8,9.4,8.2,8.5,8.2,1452,No,No,Yes,No immediate servicing required,584800,Medium,7.2,France
Hyundai,Creta,SX (O) 1.5 Diesel,2020,Aug,2020,5,Diesel,BSVI,Manual,Regular,52000,2nd Owner,Apr-27,Third Party,TS09,"Uppal, Hyderabad",9.18,9.7,9.5,9.3,8.9,8.5,1576,No,No,Yes,"12 months or 10,000 km",1013564,High,6.8,South Korea
Kia,Seltos,GTX Plus 1.5 Diesel AT,2022,Mar,2022,3,Diesel,BSVI,Automatic,Torque Convertor,49000,2nd Owner,Sep-26,Comprehensive,TS07,"Kukatpally, Hyderabad",9.22,9.8,9.6,9.4,9.1,8.2,1432,No,No,Yes,"12 months or 10,000 km",1169600,Medium,7,South Korea
Tata,Nexon,XZ Plus Diesel,2022,Jul,2022,3,Diesel,BSVI,Manual,Regular,105000,1st Owner,Apr-27,Third Party,TS13,"Uppal, Hyderabad",8.52,9.3,8.4,8.5,7.8,8.6,1576,No,No,Yes,"12 months or 15,000 km",672800,High,6.3,India
Kia,Seltos,GTX Plus 1.4,2019,Aug,2019,6,Petrol,BSIV,Manual,Regular,64000,1st Owner,Sep-26,Comprehensive,TS10,"Uppal, Hyderabad",8.96,9.8,9.4,9,8.6,8,1573,No,No,Yes,No immediate servicing required,868000,High,7.8,South Korea
Maruti Suzuki,Vitara,Brezza ZDi+ Dual Tone,2017,Feb,2017,8,Diesel,BSIV,Manual,Regular,105000,1st Owner,Apr-27,Third Party,TS31,"Uppal, Hyderabad",8.6,9.6,9.3,8.3,7.7,8.1,1576,No,No,Yes,"12 months or 10,000 km",555200,Very High,6.8,Japan/India
MG Motors,Hector,Plus Sharp 2.0 Diesel Turbo MT 6-STR,2021,Nov,2021,4,Diesel,BSVI,Manual,Regular,51000,1st Owner,Apr-27,Third Party,AP39,"Kukatpally, Hyderabad",8.98,9.8,8.9,8.9,8.9,8.4,1576,No,No,Yes,No immediate servicing required,1142321,Medium,7,China/UK
MG Motors,Hector,Plus Sharp 1.5 Petrol Turbo CVT 6-STR,2022,Mar,2022,3,Petrol,BSVI,Automatic,DCT,62000,1st Owner,Apr-27,Third Party,TS08,"Kukatpally, Hyderabad",8.88,9.7,9.3,8.9,8.1,8.4,1452,No,No,Yes,"12 months or 10,000 km",1175164,High,6.8,China/UK
Kia,Sonet,HTX 1.5,2021,Feb,2021,4,Diesel,BSIV,Manual,Regular,46000,1st Owner,Apr-27,Third Party,TS08,"Uppal, Hyderabad",9.04,9.7,9.5,8.8,9,8.2,1576,No,No,Yes,"12 months or 10,000 km",740000,Medium,7.3,South Korea
