Brand,Model,Variant / Trim,Make Year,Make Month,Registration Year,Car Age (years),Fuel Type,BS Norm,Transmission Type,Transmission Subtype,Kilometres Driven,Number of Previous Owners,Insurance Validity,Insurance Type,RTO,Car Location,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Parts Evaluated,Meter Tampered,Flooded,Core Structure Intact,Next Service Due,Price (INR)
Jeep,Compass,Limited Plus Petrol AT,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,82000,3rd Owner,Nov 2026,Comprehensive,TS15,"Kukatpally, Hyderabad",8.64,9.6,9.0,7.8,8.5,8.3,1452,No,No,Yes,"12 months or 15,000 km",969486
Jeep,Compass,Trailhawk (O) 2.0 4x4,2019,Jun,2019,6,Diesel,BSVI,Automatic,Torque Convertor,70000,3rd Owner,Aug 2026,Comprehensive,TS07,"Kukatpally, Hyderabad",8.86,9.6,9.5,8.7,8.8,7.7,1432,No,No,Yes,"12 months or 15,000 km",1090686
Volkswagen,Taigun,Topline 1.0 TSI MT,2022,Nov,2022,4,Petrol,BSVI,Manual,Regular,120000,1st Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",8.32,9.3,9.2,7.6,8.1,7.4,1573,No,No,,"12 months or 15,000 km",763200
Hyundai,Creta,SX 1.5 Petrol,2020,Aug,2020,5,Petrol,BSVI,Manual,Regular,51000,1st Owner,Sep 2026,Comprehensive,TS09,"Uppal, Hyderabad",9.24,9.8,9.7,9.0,9.0,8.7,1573,No,No,Yes,"12 months or 10,000 km",880000
Kia,Seltos,HTX 1.5,2023,Nov,2023,3,Petrol,BSVI,Manual,Regular,47000,1st Owner,Jan 2027,Comprehensive,TS07,"Kukatpally, Hyderabad",9.06,9.8,9.6,8.9,8.6,8.4,1573,No,No,Yes,"12 months or 10,000 km",966400
Audi,Q5,45 TFSI Technology,2019,Jul,2019,7,Petrol,,Automatic,,64000,1st Owner,Nov 2026,Comprehensive,TS09,"Kukatpally, Hyderabad",8.68,9.8,8.8,8.4,8.5,7.9,1452,No,No,Yes,No immediate servicing required,2092606
Hyundai,Venue,SX 1.2 Petrol,2025,Mar,2025,0,Petrol,BSVI,Manual,Regular,6000,1st Owner,Apr 2027,Third Party,TG09,"Kukatpally, Hyderabad",9.84,10.0,10.0,9.9,9.7,9.6,1573,No,No,Yes,"12 months or 10,000 km",915164
Jeep,Compass,Limited Plus 2.0 Diesel 4x4 AT,2021,Jan,2021,5,Diesel,BSVI,Automatic,Torque Convertor,49000,1st Owner,Apr 2027,Comprehensive,TS08,"Kukatpally, Hyderabad",9.14,9.8,9.7,9.0,9.1,8.1,1432,No,No,Yes,"12 months or 15,000 km",1277334
Kia,Sonet,HTX 1.5,2021,Jun,2021,4,Diesel,BSVI,Manual,Regular,57000,2nd Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",9.0,9.8,9.6,8.6,8.7,8.3,1576,No,No,Yes,"12 months or 10,000 km",689600
Kia,Sonet,HTK Plus 1.2 Petrol MT,2023,May,2023,2,Petrol,BSVI,Manual,Regular,11000,1st Owner,Apr 2027,Third Party,TS12,"Uppal, Hyderabad",9.72,9.9,9.9,9.8,9.6,9.4,1573,No,No,Yes,"12 months or 10,000 km",683200
Kia,Seltos,HTK Plus 1.5,2023,Sep,2023,3,Petrol,BSVI,Manual,Regular,45000,1st Owner,Apr 2027,Third Party,TS26,"Kukatpally, Hyderabad",9.24,9.8,9.7,9.2,8.9,8.6,1573,No,No,Yes,"12 months or 10,000 km",850364
Kia,Seltos,GTX Plus DCT 1.4,2019,Sep,2019,6,Petrol,,Automatic,DCT,35000,1st Owner,Oct 2026,Comprehensive,TS07,"Kukatpally, Hyderabad",9.1,9.9,9.7,8.9,8.6,8.4,1452,No,No,Yes,"12 months or 10,000 km",984800
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,103000,1st Owner,Dec 2026,Third Party,TS07,"Kukatpally, Hyderabad",8.72,9.6,9.2,8.1,8.4,8.3,1452,No,No,Yes,No immediate servicing required,875200
Kia,Seltos,GTX Plus 1.4 DCT,2021,Apr,2021,4,Petrol,BSVI,Automatic,DCT,72000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",8.92,9.7,9.4,8.9,8.8,7.8,1452,No,No,Yes,No immediate servicing required,972800
Kia,Seltos,GTX Plus 1.4 DCT,2021,Mar,2021,4,Petrol,BSVI,Automatic,DCT,103000,1st Owner,Apr 2027,Third Party,TS09,"Kukatpally, Hyderabad",8.52,9.6,8.5,8.3,8.3,7.9,1452,No,No,Yes,"12 months or 10,000 km",884000
Kia,Seltos,GTX Plus DCT 1.4,2020,Mar,2020,5,Petrol,,Automatic,DCT,92000,1st Owner,Apr 2027,Third Party,TS07,"Hafeezpet, Hyderabad",8.78,9.7,9.3,8.6,8.1,8.2,1452,No,No,Yes,No immediate servicing required,881564
Volkswagen,Taigun,Topline 1.0 TSI MT,2023,Dec,2023,3,Petrol,BSVI,Manual,Regular,74000,1st Owner,Apr 2027,Third Party,AP39,"Kukatpally, Hyderabad",8.9,9.7,9.4,9.1,8.1,8.2,1573,No,No,Yes,No immediate servicing required,828800
Nissan,Magnite,XV Premium Turbo CVT,2023,Apr,2023,2,Petrol,,Automatic,CVT,29000,1st Owner,Apr 2027,Third Party,TS08,"Uppal, Hyderabad",9.2,9.9,9.8,9.1,8.6,8.6,1452,No,No,Yes,"12 months or 10,000 km",719200
MG Motors,Hector,Sharp 2.0 Diesel Turbo MT,2022,Feb,2022,3,Diesel,BSVI,Manual,Regular,35000,1st Owner,Feb 2027,Comprehensive,TS07,"Kukatpally, Hyderabad",9.18,9.9,9.5,9.1,9.2,8.2,1576,No,No,Yes,"12 months or 10,000 km",95
Kia,Seltos,GTX Plus 1.5 Diesel AT,2021,Jun,2021,4,Diesel,BSVI,Automatic,Torque Convertor,102000,1st Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",8.72,9.6,9.2,8.6,8.1,8.1,1432,No,No,Yes,No immediate servicing required,1024430
MG Motors,Hector,Sharp 1.5 Petrol CVT,2021,Feb,2021,4,Petrol,,Automatic,CVT,50000,1st Owner,Apr 2027,Third Party,TS09,"Hafeezpet, Hyderabad",9.0,9.8,9.5,8.9,8.5,8.3,1452,No,No,Yes,"12 months or 10,000 km",11
BMW,X1,sDrive18d M Sport,2024,Apr,2024,2,Diesel,BSIV,Automatic,DCT,23000,1st Owner,Dec 2026,Comprehensive,TS09,"Kukatpally, Hyderabad",9.38,9.9,9.8,9.3,9.3,8.6,1432,No,No,Yes,"12 months or 15,000 km",3676286
Volkswagen,Taigun,Topline 1.0 TSI MT,2022,Feb,2022,3,Petrol,BSVI,Manual,Regular,120000,1st Owner,Apr 2027,Third Party,TS07,"Hafeezpet, Hyderabad",8.54,9.6,8.9,7.9,7.9,8.4,1573,No,No,Yes,No immediate servicing required,897600
Kia,Sonet,GTX Plus 1.0 DCT,2022,Oct,2022,3,Petrol,BSVI,Automatic,DCT,45000,2nd Owner,Aug 2026,Comprehensive,TS07,"Uppal, Hyderabad",9.0,9.6,9.7,9.0,8.3,8.4,1452,No,No,Yes,No immediate servicing required,837600
Tata,Nexon,XMA (S),2022,May,2022,3,Petrol,BSVI,Automatic,AMT,24000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",9.36,9.9,9.8,9.5,9.2,8.4,1452,No,No,Yes,"12 months or 15,000 km",660800
Kia,Sonet,HTK Plus 1.5 AT,2021,May,2021,4,Diesel,BSVI,Automatic,Torque Convertor,44000,1st Owner,Apr 2027,Third Party,TS09,"Uppal, Hyderabad",8.9,9.7,9.5,8.9,8.6,7.8,1432,No,No,Yes,"12 months or 10,000 km",739200
Kia,Seltos,GTX Plus DCT 1.4,2021,Apr,2021,4,Petrol,BSVI,Automatic,DCT,82000,1st Owner,Apr 2027,Third Party,AP39,"Kukatpally, Hyderabad",8.74,9.7,9.4,8.1,8.7,7.8,1452,No,No,Yes,No immediate servicing required,940000
Maruti Suzuki,S-Cross,Zeta 1.3,2017,May,2017,8,Diesel,BSIV,Manual,Regular,95000,1st Owner,Apr 2027,Third Party,AP16,"Kukatpally, Hyderabad",8.6,9.3,9.4,8.2,8.1,8.0,1576,No,No,Yes,"12 months or 10,000 km",471200
Tata,Nexon,XMA (S) Diesel,2020,Sep,2020,5,Diesel,BSVI,Automatic,AMT,71000,2nd Owner,Apr 2027,Third Party,TS07,"Hafeezpet, Hyderabad",9.08,9.7,9.5,9.0,8.8,8.4,1432,No,No,Yes,"12 months or 15,000 km",7
Kia,Sonet,GTX Plus 1.5,2021,Jan,2021,4,Diesel,,Manual,Regular,53000,1st Owner,Jan 2027,Comprehensive,TS07,"Kukatpally, Hyderabad",9.0,9.7,9.3,8.9,8.8,8.3,1576,No,No,Yes,"12 months or 10,000 km",803244
Kia,Seltos,HTX 1.5,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,49000,1st Owner,Mar 2027,Comprehensive,TS15,"Kukatpally, Hyderabad",9.65,9.8,9.7,9.1,,10.0,19,No,No,Yes,"12 months or 10,000 km",1029600
Kia,Seltos,HTX Plus 1.5 Diesel,2020,Jan,2020,5,Diesel,BSVI,Manual,Regular,74000,1st Owner,Jan 2027,Third Party,AP39,"Kukatpally, Hyderabad",8.92,9.7,9.5,8.8,8.5,8.1,1576,No,No,Yes,"12 months or 10,000 km",928800
Kia,Seltos,GTX Plus DCT 1.4,2020,Aug,2020,5,Petrol,BSVI,Automatic,DCT,80000,2nd Owner,Apr 2027,Third Party,AP39,"Kukatpally, Hyderabad",9.14,9.7,9.5,9.0,8.8,8.7,1452,No,No,Yes,No immediate servicing required,839200
Kia,Seltos,GTX Plus DCT 1.4,2020,Jan,2020,5,Petrol,BSVI,Automatic,DCT,110000,2nd Owner,Feb 2027,Comprehensive,TS07,"Kukatpally, Hyderabad",8.66,9.6,9.2,8.7,8.0,7.8,1452,No,No,Yes,No immediate servicing required,817600
Hyundai,Creta,SX 1.5 Petrol IVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,102000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",8.78,9.6,9.3,8.6,8.4,8.0,1452,No,No,Yes,"12 months or 10,000 km",968764
Volkswagen,Taigun,Topline 1.0 TSI MT,2023,Nov,2023,3,Petrol,BSVI,Manual,Regular,50000,1st Owner,Aug 2026,Comprehensive,TS08,"Kukatpally, Hyderabad",9.12,9.6,9.7,8.7,9.1,8.5,1573,No,No,Yes,"12 months or 15,000 km",864000
Kia,Sonet,GTX Plus 1.5,2021,Apr,2021,4,Diesel,,Manual,Regular,30000,1st Owner,Apr 2027,Third Party,TS09,"Kukatpally, Hyderabad",9.16,9.9,9.0,9.2,8.9,8.8,1576,No,No,Yes,"12 months or 10,000 km",835200
Kia,Seltos,GTX Plus AT 1.5 Diesel,2020,Jan,2020,5,Diesel,BSVI,Automatic,Torque Convertor,120000,2nd Owner,Apr 2027,Third Party,TS09,"Kukatpally, Hyderabad",8.58,9.6,9.1,7.6,8.1,8.5,1432,No,No,Yes,"12 months or 10,000 km",876000
Kia,Seltos,HTX 1.5 IVT,2022,Apr,2022,3,Petrol,BSVI,Automatic,CVT,54000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",9.12,9.8,9.6,9.1,8.9,8.2,1452,No,No,Yes,"12 months or 10,000 km",1022400
Kia,Sonet,Anniversary Edition 1.5,2022,Apr,2022,3,Diesel,BSVI,Manual,Regular,69000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",8.82,9.6,9.4,8.7,8.4,8.0,1576,No,No,Yes,"12 months or 10,000 km",726400
Kia,Seltos,HTX 1.5,2020,Jul,2020,5,Petrol,BSVI,Manual,Regular,66000,1st Owner,Aug 2026,Comprehensive,AP39,"Kukatpally, Hyderabad",9.1,9.8,9.6,8.9,8.9,8.3,1573,No,No,Yes,"12 months or 10,000 km",816000
Kia,Seltos,GTX Plus 1.5 Diesel AT,2021,Oct,2021,4,Diesel,BSIV,Automatic,Torque Convertor,120000,1st Owner,Nov 2026,Comprehensive,TS11,"Kukatpally, Hyderabad",8.7,9.5,8.5,8.2,8.7,8.6,1432,No,No,Yes,No immediate servicing required,1007200
Volkswagen,Taigun,Highline 1.0 TSI MT,2022,Mar,2022,3,Petrol,BSVI,Manual,Regular,62000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",9.12,9.8,9.6,9.1,8.8,8.3,1573,No,No,Yes,No immediate servicing required,764800
Ford,EcoSport,Trend 1.5 TDCi,2015,Aug,2015,10,Diesel,BSIV,Manual,Regular,143000,1st Owner,Apr 2027,Third Party,TS13,"Uppal, Hyderabad",8.54,9.5,9.1,8.1,7.6,8.4,1576,No,No,Yes,"12 months or 10,000 km",347200
Kia,Sonet,GTX Plus 1.0 DCT,2023,Jan,2023,2,Petrol,BSVI,Automatic,DCT,35000,1st Owner,Jan 2027,Comprehensive,TS13,"Uppal, Hyderabad",9.3,9.9,9.7,9.3,9.4,8.2,1452,No,No,Yes,"12 months or 10,000 km",957600
Ford,EcoSport,Titanium 1.5L Ti-VCT,2016,Nov,2016,9,Petrol,BSIV,Manual,Regular,111000,1st Owner,Nov 2026,Comprehensive,TS15,"Kukatpally, Hyderabad",8.76,9.6,9.2,8.3,8.1,8.6,1573,No,No,Yes,"12 months or 10,000 km",410400
Tata,Nexon,Fearless Plus 1.2 Revotron Petrol 6MT,2023,Aug,2023,2,Petrol,,Manual,Regular,28000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",9.34,9.9,9.8,8.6,9.4,9.0,1573,No,No,Yes,"12 months or 15,000 km",847164
Ford,EcoSport,Titanium+ 1.5L TDCi,2016,Aug,2016,9,Diesel,BSIV,Manual,Regular,132000,1st Owner,Apr 2027,Third Party,TS13,"Uppal, Hyderabad",8.12,9.1,8.4,7.2,7.9,8.0,1576,No,No,Yes,"12 months or 10,000 km",444000
Hyundai,Alcazar,Signature 6 STR 1.5 Diesel,2023,Nov,2023,3,Diesel,BSVI,Manual,Regular,70000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",9.06,9.7,9.1,9.0,9.0,8.5,1576,No,No,Yes,"12 months or 10,000 km",1195164
Tata,Nexon,XZA Plus (O) Dual Tone,2022,Mar,2022,3,Petrol,BSVI,Automatic,AMT,41000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",9.0,9.8,9.6,9.1,8.5,8.0,1452,No,No,Yes,"12 months or 15,000 km",806400
Renault,Kiger,RXZ Turbo CVT Dual Tone,2022,Jan,2022,3,Petrol,BSVI,Automatic,CVT,45000,1st Owner,Apr 2027,Third Party,TS08,"Uppal, Hyderabad",9.26,9.8,9.7,9.4,9.1,8.3,1452,No,No,Yes,No immediate servicing required,619200
Kia,Seltos,HTX 1.5 IVT,2021,Aug,2021,4,Petrol,BSVI,Automatic,CVT,84000,2nd Owner,Apr 2027,Third Party,AP39,"Uppal, Hyderabad",8.72,9.7,9.4,8.7,8.4,7.4,1452,No,No,Yes,"12 months or 10,000 km",790400
Kia,Seltos,GTX Plus 1.4 DCT,2022,Jul,2022,3,Petrol,BSVI,Automatic,DCT,41000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",9.08,9.6,9.6,9.4,8.8,8.0,1452,No,No,Yes,No immediate servicing required,1154400
Mahindra,XUV500,W11 AT,2018,May,2018,7,Diesel,BSIV,Automatic,Torque Convertor,76000,1st Owner,Apr 2027,Third Party,TS09,"Kukatpally, Hyderabad",8.8,9.3,9.5,8.3,8.6,8.3,1432,No,No,Yes,"12 months or 10,000 km",973522
Maruti Suzuki,Brezza,ZXi Plus,2024,Sep,2024,2,Petrol,BSVI,Manual,Regular,20000,2nd Owner,Jan 2027,Comprehensive,TS11,"Uppal, Hyderabad",9.66,9.9,9.9,9.7,9.5,9.3,1573,No,No,Yes,"12 months or 10,000 km",843200
Tata,Nexon,XM Plus (S) Diesel,2023,Jan,2023,2,Diesel,BSVI,Manual,Regular,49000,1st Owner,Feb 2027,Comprehensive,TS09,"Uppal, Hyderabad",9.08,9.8,9.7,8.9,8.4,8.6,1576,No,No,Yes,"12 months or 15,000 km",744000
Kia,Sonet,GTX Plus 1.0 DCT,2020,Nov,2020,5,Petrol,BSVI,Automatic,DCT,43000,1st Owner,Nov 2026,Comprehensive,TS08,"Kukatpally, Hyderabad",9.14,9.7,9.7,9.0,8.8,8.5,1452,No,No,Yes,"12 months or 10,000 km",751200
Renault,Kiger,RXZ MT,2022,May,2022,3,Petrol,BSVI,Manual,Regular,93000,1st Owner,Apr 2027,Third Party,AP39,"Uppal, Hyderabad",8.72,9.7,9.3,8.3,8.2,8.1,1573,No,No,Yes,"12 months or 10,000 km",459200
Kia,Seltos,GTX Plus DCT 1.4,2019,Sep,2019,6,Petrol,BSVI,Automatic,DCT,106000,1st Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",8.48,9.6,9.2,8.2,8.0,7.4,1452,No,No,Yes,No immediate servicing required,810400
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,6,Petrol,BSVI,Automatic,DCT,109000,2nd Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",8.46,9.6,8.8,7.8,8.1,8.0,1452,No,No,Yes,No immediate servicing required,767200
Kia,Seltos,GTX Plus DCT 1.4,2020,Nov,2020,6,Petrol,BSIV,Automatic,DCT,90000,1st Owner,Apr 2027,Third Party,TS09,"Kukatpally, Hyderabad",8.56,9.7,9.3,7.7,8.0,8.1,1452,No,No,Yes,No immediate servicing required,854400
MG Motors,Hector,Sharp 1.5 Petrol CVT,2022,Feb,2022,3,Petrol,BSVI,Automatic,CVT,64000,1st Owner,Apr 2027,Third Party,TS13,"Kukatpally, Hyderabad",9.26,9.8,9.6,9.3,9.3,8.3,1452,No,No,Yes,"12 months or 10,000 km",11
Maruti Suzuki,Fronx,Alpha 1.0L Turbo 6 AT,2023,Apr,2023,2,Petrol,BSVI,Automatic,Torque Convertor,88000,1st Owner,Apr 2027,Third Party,AP39,"Uppal, Hyderabad",8.56,9.7,9.4,8.5,7.9,7.3,1452,No,No,Yes,"12 months or 10,000 km",763200
Renault,Kiger,RXZ Turbo CVT,2021,Mar,2021,4,Petrol,,Automatic,CVT,50000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",8.82,9.8,9.4,8.2,8.5,8.2,1452,No,No,Yes,No immediate servicing required,584800
Hyundai,Creta,SX (O) 1.5 Diesel,2020,Aug,2020,5,Diesel,BSVI,Manual,Regular,52000,2nd Owner,Apr 2027,Third Party,TS09,"Uppal, Hyderabad",9.18,9.7,9.5,9.3,8.9,8.5,1576,No,No,Yes,"12 months or 10,000 km",1013564
Kia,Seltos,GTX Plus 1.5 Diesel AT,2022,Mar,2022,3,Diesel,BSVI,Automatic,Torque Convertor,49000,2nd Owner,Sep 2026,Comprehensive,TS07,"Kukatpally, Hyderabad",9.22,9.8,9.6,9.4,9.1,8.2,1432,No,No,Yes,"12 months or 10,000 km",1169600
Tata,Nexon,XZ Plus Diesel,2022,Jul,2022,3,Diesel,BSVI,Manual,Regular,105000,1st Owner,Apr 2027,Third Party,TS13,"Uppal, Hyderabad",8.52,9.3,8.4,8.5,7.8,8.6,1576,No,No,Yes,"12 months or 15,000 km",672800
Kia,Seltos,GTX Plus 1.4,2019,Aug,2019,6,Petrol,BSIV,Manual,Regular,64000,1st Owner,Sep 2026,Comprehensive,TS10,"Uppal, Hyderabad",8.96,9.8,9.4,9.0,8.6,8.0,1573,No,No,Yes,No immediate servicing required,868000
Maruti Suzuki,Vitara,Brezza ZDi+ Dual Tone,2017,Feb,2017,8,Diesel,BSIV,Manual,Regular,105000,1st Owner,Apr 2027,Third Party,TS31,"Uppal, Hyderabad",8.6,9.6,9.3,8.3,7.7,8.1,1576,No,No,Yes,"12 months or 10,000 km",555200
MG Motors,Hector,Plus Sharp 2.0 Diesel Turbo MT 6-STR,2021,Nov,2021,4,Diesel,BSVI,Manual,Regular,51000,1st Owner,Apr 2027,Third Party,AP39,"Kukatpally, Hyderabad",8.98,9.8,8.9,8.9,8.9,8.4,1576,No,No,Yes,No immediate servicing required,1142321
MG Motors,Hector,Plus Sharp 1.5 Petrol Turbo CVT 6-STR,2022,Mar,2022,3,Petrol,BSVI,Automatic,DCT,62000,1st Owner,Apr 2027,Third Party,TS08,"Kukatpally, Hyderabad",8.88,9.7,9.3,8.9,8.1,8.4,1452,No,No,Yes,"12 months or 10,000 km",1175164
Kia,Sonet,HTX 1.5,2021,Feb,2021,4,Diesel,BSIV,Manual,Regular,46000,1st Owner,Apr 2027,Third Party,TS08,"Uppal, Hyderabad",9.04,9.7,9.5,8.8,9.0,8.2,1576,No,No,Yes,"12 months or 10,000 km",740000
Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT,2024,Apr,2024,2,Petrol,,Manual,Regular,12000,1st Owner,Dec 2026,Comprehensive,TS07,"Uppal, Hyderabad",9.6,9.9,9.9,9.8,9.2,9.2,1573,No,No,Yes,"12 months or 10,000 km",801600
Hyundai,Creta,SX 1.6 AT CRDi,2019,Nov,2019,7,Diesel,BSIV,Automatic,Torque Convertor,92000,1st Owner,Feb 2027,Comprehensive,TS07,"Kukatpally, Hyderabad",8.48,9.5,8.9,8.3,7.7,8.0,1432,No,No,Yes,"12 months or 10,000 km",800800
Kia,Seltos,HTX 1.5,2020,Aug,2020,5,Petrol,BSVI,Manual,Regular,46000,1st Owner,Sep 2028,Comprehensive,TS07,"Kukatpally, Hyderabad",8.94,9.8,9.6,8.6,8.4,8.3,1573,No,No,Yes,No immediate servicing required,820800
Kia,Seltos,GTX Plus 1.4,2023,Jan,2023,2,Petrol,BSVI,Manual,Regular,49000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",9.04,9.8,9.7,9.1,8.4,8.2,1573,No,No,Yes,"12 months or 10,000 km",1177600
Volkswagen,Taigun,Highline 1.0 TSI MT,2022,Feb,2022,3,Petrol,BSVI,Manual,Regular,64000,1st Owner,Apr 2027,Third Party,TS07,"Kukatpally, Hyderabad",9.1,9.8,9.6,9.2,8.5,8.4,1573,No,No,Yes,"12 months or 15,000 km",763200
Kia,Seltos,GTX DCT 1.4 Dual Tone,2019,Aug,2019,6,Petrol,BSIV,Automatic,DCT,37000,1st Owner,Apr 2027,Third Party,TS07,"Uppal, Hyderabad",8.84,9.9,9.6,8.7,8.1,7.9,1452,No,No,Yes,"12 months or 10,000 km",912000
