Brand,Model,Make Year,Car Age (years),Kilometres Driven,km_per_year,Fuel Type,Transmission Type,Transmission Subtype,BS Norm,Number of Previous Owners,Insurance Type,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Composite_Score,Value_Score,Depreciation_Category,Meter Tampered,Flooded
8,37,2023,2,28000,14000,4,0,4,2,1,0,9.4,9.9,9.8,9.1,9.2,9.0,9.4,7.1,1,0,0
6,27,2022,3,41000,13667,4,1,2,2,1,0,9.08,9.6,9.6,9.4,8.8,8.0,9.08,7.3,2,0,0
14,30,2022,3,18000,6000,4,0,4,2,1,0,9.5,9.9,9.9,9.4,9.2,9.1,9.5,7.8,2,0,0
4,5,2019,7,92000,13143,1,1,5,1,1,1,8.48,9.5,8.9,8.3,7.7,8.0,8.48,7.5,4,0,0
2,11,2019,7,86000,12286,4,0,4,1,1,1,8.74,9.4,9.3,8.3,8.4,8.3,8.74,7.3,4,0,0
11,17,2023,2,25000,12500,4,0,4,2,1,1,9.54,9.9,9.8,9.3,9.5,9.2,9.54,7.7,1,0,0
6,27,2020,5,92000,18400,4,1,2,0,1,0,8.78,9.7,9.3,8.6,8.1,8.2,8.78,6.8,4,0,0
6,27,2022,3,52000,17333,4,1,2,2,2,1,8.96,9.8,9.6,9.1,8.3,8.0,8.96,6.9,2,0,0
1,36,2024,2,23000,11500,1,1,2,1,1,1,9.38,9.9,9.8,9.3,9.3,8.6,9.38,8.2,1,0,0
6,27,2020,5,103000,20600,4,1,2,2,1,0,8.72,9.6,9.2,8.1,8.4,8.3,8.72,6.7,4,0,0
6,28,2021,4,53000,13250,1,0,4,0,1,1,9.0,9.7,9.3,8.9,8.8,8.3,9.0,7.5,2,0,0
8,16,2018,7,36000,5143,4,0,4,1,1,0,8.72,9.7,9.3,7.8,8.6,8.2,8.72,7.4,3,0,0
4,33,2025,0,6000,6000,4,0,4,2,1,0,9.84,10.0,10.0,9.9,9.7,9.6,9.84,7.9,1,0,0
10,19,2024,1,25000,25000,4,0,4,2,1,1,9.58,9.9,9.8,9.7,9.5,9.0,9.58,7.3,1,0,0
6,27,2022,3,99000,33000,1,0,4,2,1,0,8.76,9.4,9.1,8.3,8.6,8.4,8.76,6.4,3,0,0
2,8,2019,6,105000,17500,1,0,4,1,3,0,8.48,9.2,8.8,8.6,8.3,7.5,8.48,5.3,4,0,0
9,2,2023,2,71000,35500,4,0,4,2,1,0,9.04,9.7,9.5,9.1,8.6,8.3,9.04,6.6,2,0,0
6,27,2022,3,54000,18000,4,1,1,2,1,0,9.12,9.8,9.6,9.1,8.9,8.2,9.12,6.9,2,0,0
13,20,2022,3,32000,10667,1,1,0,2,1,0,9.2,9.9,9.7,9.3,8.6,8.5,9.2,7.7,2,0,0
11,7,2018,7,86000,12286,1,0,4,0,1,1,8.78,9.6,9.2,8.3,8.6,8.2,8.78,7.4,4,0,0
7,15,2021,5,57000,11400,1,0,4,2,1,1,9.18,9.8,9.4,9.2,9.0,8.5,9.18,7.8,3,0,0
2,8,2016,10,97000,9700,1,0,4,1,2,0,8.66,9.6,9.2,8.1,8.2,8.2,8.66,6.6,4,0,0
4,5,2020,5,52000,10400,1,0,4,2,2,0,9.18,9.7,9.5,9.3,8.9,8.5,9.18,6.8,3,0,0
9,24,2017,8,95000,11875,1,0,4,1,1,0,8.6,9.3,9.4,8.2,8.1,8.0,8.6,7.0,4,0,0
4,0,2023,2,25000,12500,1,0,4,0,1,0,9.54,9.9,9.7,9.6,9.5,9.0,9.54,7.2,1,0,0
13,14,2021,5,39000,7800,1,1,5,2,1,1,9.1,9.8,9.7,9.1,8.2,8.7,9.1,8.4,3,0,0
13,20,2022,3,105000,35000,1,0,4,2,1,0,8.52,9.3,8.4,8.5,7.8,8.6,8.52,6.3,3,0,0
9,2,2022,3,123000,41000,4,0,4,2,1,0,8.62,9.6,9.2,8.0,8.2,8.1,8.62,6.4,3,0,0
6,27,2023,3,45000,15000,4,0,4,2,1,0,9.24,9.8,9.7,9.2,8.9,8.6,9.24,7.1,2,0,0
4,0,2023,3,82000,27333,1,0,4,2,1,0,9.12,9.7,9.5,9.0,8.5,8.9,9.12,6.6,3,0,0
2,8,2018,7,68000,9714,4,1,5,1,2,0,8.76,9.7,9.4,8.6,8.2,7.9,8.76,7.0,4,0,0
4,5,2018,7,100000,14286,4,0,4,1,1,0,8.9,9.6,9.3,8.6,8.5,8.5,8.9,6.9,4,0,0
4,33,2019,6,106000,17667,1,0,4,1,1,0,8.7,9.6,9.3,8.3,8.1,8.2,8.7,6.4,4,0,0
9,13,2023,3,59000,19667,4,0,4,2,2,0,9.22,9.8,9.6,9.0,9.2,8.5,9.22,6.2,2,0,0
13,20,2021,4,99000,24750,4,0,4,0,1,1,8.86,9.5,9.3,8.0,8.8,8.7,8.86,7.0,3,0,0
4,33,2019,6,66000,11000,4,1,2,1,1,1,8.64,9.8,9.5,7.8,8.1,8.0,8.64,7.9,3,0,0
6,27,2022,3,49000,16333,1,1,5,2,2,1,9.22,9.8,9.6,9.4,9.1,8.2,9.22,7.0,2,0,0
6,27,2020,5,110000,22000,4,1,2,2,2,1,8.66,9.6,9.2,8.7,8.0,7.8,8.66,6.7,4,0,0
11,3,2018,8,95000,11875,1,0,4,1,1,0,8.52,9.3,9.3,7.5,8.1,8.4,8.52,7.0,4,0,0
13,21,2025,1,27000,27000,2,1,6,0,1,0,9.0,9.8,9.5,8.9,8.7,8.350000000000001,9.042,1.6,2,1,1
4,5,2025,0,11000,11000,4,0,4,2,1,1,9.68,9.9,9.8,9.9,9.3,9.5,9.68,8.1,1,0,0
11,17,2022,3,45000,15000,4,0,4,2,1,0,9.22,9.8,9.7,9.1,9.2,8.3,9.22,7.1,2,0,0
14,30,2022,3,120000,40000,4,0,4,2,1,0,8.54,9.6,8.9,7.9,7.9,8.4,8.54,6.4,3,0,0
4,0,2023,3,70000,23333,1,0,4,2,1,0,9.06,9.7,9.1,9.0,9.0,8.5,9.06,6.6,3,0,0
6,28,2023,2,35000,17500,1,1,5,2,1,0,9.4,9.8,9.8,9.3,9.3,8.8,9.4,7.0,2,0,0
7,15,2020,5,93000,18600,1,0,4,2,1,0,8.62,9.5,9.1,8.7,8.5,7.3,8.62,6.4,4,0,0
0,22,2018,8,58000,7250,4,1,6,1,1,1,9.08,9.8,9.6,9.0,8.9,8.1,9.08,8.4,3,0,0
13,21,2025,1,10000,10000,4,1,0,0,1,0,9.4,9.9,9.9,8.1,9.8,9.3,9.4,7.7,1,0,0
6,27,2020,5,66000,13200,1,1,5,2,1,1,8.9,9.6,9.5,8.9,8.2,8.3,8.9,7.7,3,0,0
6,27,2019,6,35000,5833,4,1,2,0,1,1,9.1,9.9,9.7,8.9,8.6,8.4,9.1,8.4,3,0,0
2,8,2013,12,117000,9750,1,0,4,1,1,0,8.54,9.4,8.9,8.0,7.7,8.7,8.54,7.0,4,0,0
13,25,2022,3,64000,21333,1,0,4,2,2,1,9.06,9.7,9.6,9.0,8.6,8.4,9.06,6.6,3,0,0
9,34,2021,4,37000,9250,4,1,5,2,1,0,8.92,9.8,9.7,8.7,8.3,8.1,8.92,7.5,2,0,0
14,30,2023,3,74000,24667,4,0,4,2,1,0,8.9,9.7,9.4,9.1,8.1,8.2,8.9,6.5,3,0,0
10,19,2023,2,70000,35000,4,0,4,2,1,0,8.72,9.7,9.3,8.2,8.5,7.9,8.72,6.4,2,0,0
9,2,2022,3,40000,13333,4,0,4,2,1,0,9.28,9.8,9.7,9.2,9.1,8.6,9.28,7.1,2,0,0
8,37,2021,3,37000,12333,4,0,4,1,1,0,9.24,9.9,9.8,9.2,8.4,8.9,9.24,7.1,2,0,0
13,20,2022,3,41000,13667,4,1,0,2,1,0,9.0,9.8,9.6,9.1,8.5,8.0,9.0,7.3,2,0,0
9,24,2018,7,66000,9429,1,0,4,1,1,0,8.88,9.7,9.6,8.9,8.2,8.0,8.88,7.2,4,0,0
4,33,2023,2,20000,10000,4,1,2,2,1,0,9.54,9.9,9.9,9.7,9.5,8.7,9.54,7.8,1,0,0
12,18,2022,4,51000,12750,4,0,4,2,2,0,9.02,9.8,9.7,8.2,8.7,8.7,9.02,6.5,2,0,0
13,21,2023,3,50000,16667,4,1,0,2,1,1,9.06,9.7,9.6,9.1,9.0,7.9,9.06,7.4,2,0,0
11,17,2022,3,93000,31000,4,0,4,2,1,0,8.72,9.7,9.3,8.3,8.2,8.1,8.72,6.4,3,0,0
2,8,2014,12,129000,10750,1,0,4,1,3,0,7.94,9.5,8.3,7.3,7.2,7.4,7.94,5.8,4,0,0
6,27,2021,4,84000,21000,4,1,1,2,2,0,8.72,9.7,9.4,8.7,8.4,7.4,8.72,6.2,3,0,0
6,27,2020,5,74000,14800,1,0,4,2,1,0,8.92,9.7,9.5,8.8,8.5,8.1,8.92,6.9,3,0,0
4,5,2024,1,11000,11000,4,0,4,2,1,1,9.56,9.9,9.9,9.5,9.0,9.5,9.56,8.0,1,0,0
4,5,2023,2,15000,7500,4,0,4,0,1,0,9.6,9.9,9.9,9.5,9.4,9.3,9.6,7.8,1,0,0
6,27,2021,4,82000,20500,4,1,2,2,1,0,8.74,9.7,9.4,8.1,8.7,7.8,8.74,6.8,3,0,0
9,34,2022,3,41000,13667,4,0,4,2,1,1,9.24,9.8,9.7,9.0,8.8,8.9,9.24,7.6,2,0,0
12,18,2023,2,25000,12500,4,0,4,2,2,0,9.5,9.9,9.8,9.4,9.4,9.0,9.5,6.7,1,0,0
5,4,2021,5,49000,9800,1,1,5,2,1,1,9.14,9.8,9.7,9.0,9.1,8.1,9.14,8.1,3,0,0
8,39,2022,3,72000,24000,1,0,4,2,1,0,9.18,9.7,9.5,9.1,8.9,8.7,9.18,6.6,3,0,0
2,8,2019,6,58000,9667,4,0,4,1,2,1,8.92,9.8,9.6,8.8,8.2,8.2,8.92,7.2,3,0,0
7,15,2021,4,51000,12750,1,0,4,2,1,0,8.98,9.8,8.9,8.9,8.9,8.4,8.98,7.0,2,0,0
6,28,2021,4,44000,11000,1,1,5,2,1,0,8.9,9.7,9.5,8.9,8.6,7.8,8.9,7.5,2,0,0
9,24,2022,3,24000,8000,4,0,4,2,1,0,9.38,9.9,9.8,9.3,9.1,8.8,9.38,7.4,2,0,0
4,5,2022,3,102000,34000,4,1,1,2,1,0,8.78,9.6,9.3,8.6,8.4,8.0,8.78,6.8,3,0,0
9,13,2023,3,94000,31333,4,0,4,2,1,0,8.9,9.7,9.4,8.9,8.2,8.3,8.9,6.5,3,0,0
8,31,2021,4,60000,15000,1,1,5,2,2,0,8.88,9.6,9.6,9.0,8.4,7.8,8.88,6.7,2,0,0
8,26,2023,2,55000,27500,4,1,5,1,1,0,9.2,9.8,9.6,9.4,9.1,8.1,9.2,7.0,2,0,0
6,27,2023,2,49000,24500,4,0,4,2,1,1,9.65,9.8,9.7,9.1,8.7,10.0,9.492,7.3,1,0,0
4,5,2016,9,112000,12444,4,0,4,1,1,0,8.64,9.6,9.1,7.9,7.7,8.9,8.64,6.8,4,0,0
3,35,2019,6,46000,7667,0,0,4,1,1,0,8.92,9.8,9.5,8.7,8.6,8.0,8.92,8.0,3,0,0
13,21,2024,2,8000,4000,4,1,0,0,1,0,9.6,10.0,9.8,9.5,9.6,9.1,9.6,8.1,1,0,0
7,15,2020,5,80000,16000,3,0,4,2,2,0,8.86,9.7,9.5,8.2,8.8,8.1,8.86,6.0,3,0,0
6,27,2020,5,66000,13200,4,0,4,2,1,1,9.1,9.8,9.6,8.9,8.9,8.3,9.1,7.5,3,0,0
8,39,2022,3,113000,37667,4,1,5,2,1,0,8.78,9.6,9.1,8.5,8.5,8.2,8.78,6.8,3,0,0
4,5,2017,8,84000,10500,4,1,5,1,2,0,8.72,9.6,9.3,8.2,8.2,8.3,8.72,6.9,4,0,0
4,33,2020,6,65000,10833,4,1,2,1,1,1,8.84,9.7,9.6,8.9,8.2,7.8,8.84,8.0,3,0,0
13,21,2024,1,19000,19000,4,1,0,0,1,0,9.38,9.9,9.8,9.2,9.2,8.8,9.38,7.0,1,0,0
6,28,2021,4,30000,7500,1,0,4,0,1,0,9.16,9.9,9.0,9.2,8.9,8.8,9.16,7.6,2,0,0
12,18,2021,4,112000,28000,4,1,5,1,1,0,8.66,9.6,9.2,8.1,8.2,8.2,8.66,6.7,3,0,0
9,34,2017,8,105000,13125,1,0,4,1,1,0,8.6,9.6,9.3,8.3,7.7,8.1,8.6,6.8,4,0,0
6,27,2021,4,102000,25500,1,1,5,2,1,0,8.72,9.6,9.2,8.6,8.1,8.1,8.72,6.7,3,0,0
14,30,2024,2,50000,25000,4,0,4,2,2,1,9.22,9.8,9.7,9.4,8.9,8.3,9.22,6.7,2,0,0
7,15,2020,5,77000,15400,4,1,2,1,1,0,9.0,9.6,9.5,8.7,8.9,8.3,9.0,7.2,3,0,0
11,17,2023,2,21000,10500,4,0,4,0,1,0,9.42,9.8,9.7,9.6,9.1,8.9,9.42,7.4,1,0,0
7,15,2020,6,75000,12500,1,0,4,1,1,0,8.64,9.5,9.3,8.6,8.2,7.6,8.64,6.8,3,0,0
12,18,2022,3,102000,34000,4,1,3,1,2,0,8.86,9.6,9.2,8.6,8.6,8.3,8.86,6.3,3,0,0
2,8,2015,10,146000,14600,1,0,4,1,1,1,8.5,9.4,9.0,8.0,7.7,8.4,8.5,7.2,4,0,0
6,28,2021,4,46000,11500,1,0,4,1,1,0,9.04,9.7,9.5,8.8,9.0,8.2,9.04,7.3,2,0,0
13,21,2023,2,21000,10500,4,1,0,2,1,0,9.48,9.9,9.8,9.7,9.3,8.7,9.48,7.8,1,0,0
2,8,2018,7,68000,9714,4,1,5,1,1,0,9.02,9.8,9.6,9.0,8.5,8.2,9.02,7.6,4,0,0
6,27,2019,6,37000,6167,4,1,2,1,1,0,8.84,9.9,9.6,8.7,8.1,7.9,8.84,7.8,3,0,0
13,20,2021,4,49000,12250,4,1,0,2,1,0,9.12,9.8,9.7,9.0,8.9,8.2,9.12,7.3,2,0,0
10,19,2022,3,28000,9333,4,1,1,2,1,0,9.3,9.9,9.3,9.3,9.1,8.9,9.3,7.7,2,0,0
13,20,2023,2,28000,14000,4,0,4,0,1,0,9.34,9.9,9.8,8.6,9.4,9.0,9.34,7.1,1,0,0
8,31,2022,3,70000,23333,1,1,5,2,1,0,9.08,9.7,9.5,9.2,9.2,7.8,9.08,6.9,3,0,0
10,19,2023,2,37000,18500,4,1,1,1,1,1,9.46,9.9,9.7,9.6,9.6,8.5,9.46,7.6,2,0,0
5,4,2019,6,70000,11667,1,1,5,2,3,1,8.86,9.6,9.5,8.7,8.8,7.7,8.86,7.0,3,0,0
2,8,2021,4,61000,15250,4,1,5,2,1,0,9.04,9.8,9.6,9.0,8.9,7.9,9.04,7.3,3,0,0
6,27,2020,6,109000,18167,4,1,2,2,2,0,8.46,9.6,8.8,7.8,8.1,8.0,8.46,6.1,4,0,0
4,5,2018,7,118000,16857,1,0,4,1,1,0,8.52,9.5,9.2,8.2,7.3,8.4,8.52,6.3,4,0,0
4,5,2023,3,43000,14333,4,1,2,2,1,0,9.08,9.8,9.6,8.8,8.9,8.3,9.08,7.3,2,0,0
4,33,2023,2,55000,27500,4,1,2,2,1,0,9.04,9.7,9.6,9.4,9.0,7.5,9.04,6.9,2,0,0
4,33,2023,2,36000,18000,4,0,4,0,1,0,9.08,9.9,9.8,8.9,8.7,8.1,9.08,6.6,2,0,0
11,17,2022,3,45000,15000,4,1,1,2,1,0,9.26,9.8,9.7,9.4,9.1,8.3,9.26,7.4,2,0,0
6,27,2021,4,120000,30000,1,1,5,1,1,1,8.7,9.5,8.5,8.2,8.7,8.6,8.7,7.2,3,0,0
9,2,2022,3,47000,15667,4,1,5,2,1,0,8.94,9.8,9.7,8.6,8.7,7.9,8.94,7.2,2,0,0
6,27,2020,5,120000,24000,1,1,5,2,2,0,8.58,9.6,9.1,7.6,8.1,8.5,8.58,6.2,4,0,0
2,8,2016,9,37000,4111,4,0,4,1,1,1,9.24,9.8,9.7,9.2,8.7,8.8,9.24,8.2,3,0,0
8,31,2023,2,44000,22000,1,1,5,2,1,0,9.38,9.8,9.7,9.4,9.5,8.5,9.38,7.0,2,0,0
2,8,2019,6,41000,6833,4,0,4,1,1,1,9.22,9.8,9.7,9.3,8.6,8.7,9.22,8.2,3,0,0
6,27,2022,3,103000,34333,1,0,4,2,1,1,8.64,9.5,9.2,8.2,8.1,8.2,8.64,6.9,3,0,0
4,5,2019,6,76000,12667,4,0,4,1,1,0,8.94,9.7,9.5,8.7,8.4,8.4,8.94,6.9,3,0,0
2,8,2019,6,106000,17667,1,0,4,1,1,1,8.7,9.6,9.3,8.4,8.2,8.0,8.7,6.9,4,0,0
13,20,2018,7,96000,13714,1,0,4,1,1,0,8.24,9.2,8.8,7.4,7.9,7.9,8.24,6.6,4,0,0
7,15,2020,6,45000,7500,4,0,4,2,1,0,9.12,9.8,9.5,9.2,8.6,8.5,9.12,7.6,3,0,0
2,8,2016,9,111000,12333,4,0,4,1,1,1,8.76,9.6,9.2,8.3,8.1,8.6,8.76,7.3,4,0,0
9,34,2020,5,67000,13400,4,0,4,2,2,0,8.98,9.8,9.6,9.0,8.3,8.2,8.98,6.5,3,0,0
14,30,2023,3,50000,16667,4,0,4,2,1,1,9.12,9.6,9.7,8.7,9.1,8.5,9.12,7.1,2,0,0
14,30,2022,3,64000,21333,4,0,4,2,1,0,9.1,9.8,9.6,9.2,8.5,8.4,9.1,6.6,3,0,0
0,23,2019,7,64000,9143,4,1,6,0,1,1,8.68,9.8,8.8,8.4,8.5,7.9,8.68,7.9,4,0,0
6,28,2023,2,35000,17500,4,1,2,2,1,1,9.3,9.9,9.7,9.3,9.4,8.2,9.3,7.5,2,0,0
13,20,2022,4,86000,21500,2,1,6,1,1,0,9.0,9.8,9.5,8.9,8.7,8.350000000000001,9.042,1.6,4,1,1
9,13,2024,1,24000,24000,3,1,1,2,1,0,9.46,9.9,9.7,9.7,9.1,8.9,9.46,7.1,1,0,0
9,2,2023,2,36000,18000,4,0,4,1,1,0,9.48,9.9,9.8,9.5,9.4,8.8,9.48,6.8,2,0,0
6,28,2023,2,15000,7500,4,1,2,2,2,1,9.34,9.9,9.8,9.4,8.9,8.7,9.34,8.0,1,0,0
4,33,2022,3,27000,9000,4,0,4,2,1,0,9.28,9.9,9.8,9.1,9.0,8.6,9.28,7.4,2,0,0
8,39,2022,3,49000,16333,1,0,4,2,1,1,8.78,9.8,9.7,8.3,8.4,7.7,8.78,7.0,2,0,0
6,28,2022,3,45000,15000,4,1,2,2,2,1,9.0,9.6,9.7,9.0,8.3,8.4,9.0,7.2,2,0,0
9,24,2016,10,131000,13100,1,0,4,1,2,0,8.16,9.0,8.8,7.7,6.9,8.4,8.16,6.0,4,0,0
2,8,2014,11,94000,8545,1,0,4,1,2,0,8.32,9.4,8.9,8.0,7.7,7.6,8.32,6.4,4,0,0
13,20,2021,5,63000,12600,1,1,0,2,3,0,8.86,9.7,9.5,8.8,7.7,8.6,8.86,6.2,3,0,0
6,28,2022,3,69000,23000,1,0,4,2,1,0,8.82,9.6,9.4,8.7,8.4,8.0,8.82,6.5,3,0,0
13,21,2022,3,27000,9000,4,1,0,2,1,0,9.34,9.8,9.7,9.6,9.3,8.3,9.34,7.7,2,0,0
8,39,2023,2,98000,49000,1,1,5,0,1,0,8.72,9.5,9.4,8.3,8.4,8.0,8.72,6.7,3,0,0
8,38,2018,7,102000,14571,1,1,5,1,1,0,8.36,9.3,9.2,8.1,7.6,7.6,8.36,6.9,4,0,0
6,28,2023,2,57000,28500,1,0,4,2,1,0,8.96,9.7,8.8,9.1,9.1,8.1,8.96,6.5,2,0,0
2,8,2017,8,128000,16000,1,0,4,1,2,0,8.58,9.5,9.0,8.1,7.9,8.4,8.58,5.9,4,0,0
13,20,2021,4,63000,15750,4,1,0,2,1,1,8.78,9.5,9.0,8.6,8.7,8.1,8.78,7.6,3,0,0
6,27,2023,2,49000,24500,4,0,4,2,1,0,9.04,9.8,9.7,9.1,8.4,8.2,9.04,6.6,2,0,0
10,19,2021,4,28000,7000,4,0,4,2,2,0,9.3,9.9,9.8,9.4,8.7,8.7,9.3,7.2,2,0,0
9,12,2023,2,88000,44000,4,1,5,2,1,0,8.56,9.7,9.4,8.5,7.9,7.3,8.56,6.7,2,0,0
13,25,2023,2,19000,9500,1,1,5,2,1,1,9.1,9.5,8.3,9.2,9.6,8.9,9.1,8.1,1,0,0
6,27,2020,5,97000,19400,4,0,4,2,2,0,8.68,9.6,9.1,8.4,7.9,8.4,8.68,5.9,4,0,0
11,17,2021,4,21000,5250,4,1,0,2,1,1,9.24,9.8,9.5,9.1,8.9,8.9,9.24,8.5,2,0,0
13,6,2025,1,19000,19000,1,0,4,2,1,0,9.56,9.9,9.9,9.4,9.3,9.3,9.56,6.8,1,0,0
6,27,2023,3,47000,15667,4,0,4,2,1,1,9.06,9.8,9.6,8.9,8.6,8.4,9.06,7.5,2,0,0
4,0,2021,4,67000,16750,1,1,5,2,1,1,8.88,9.6,9.5,8.9,8.3,8.1,8.88,7.3,3,0,0
6,27,2019,6,106000,17667,4,1,2,2,1,0,8.48,9.6,9.2,8.2,8.0,7.4,8.48,6.6,4,0,0
3,9,2023,2,40000,20000,4,0,4,2,1,1,9.2,9.8,9.7,9.2,9.1,8.2,9.2,7.2,2,0,0
6,27,2021,5,68000,13600,4,1,1,2,1,0,8.92,9.7,9.4,8.9,8.4,8.2,8.92,7.2,3,0,0
8,37,2022,3,47000,15667,1,0,4,2,1,1,8.96,9.8,8.8,8.9,8.8,8.5,8.96,7.5,2,0,0
8,29,2018,7,95000,13571,1,0,4,1,1,0,9.1,9.7,9.4,8.7,8.9,8.8,9.1,7.0,4,0,0
6,27,2023,2,37000,18500,4,1,2,0,1,1,9.32,9.9,9.7,9.5,9.0,8.5,9.32,7.5,2,0,0
