Brand,Model,Make Year,Car Age (years),Kilometres Driven,km_per_year,Fuel Type,Transmission Type,Transmission Subtype,BS Norm,Number of Previous Owners,Insurance Type,Overall Quality Score,Engine Score,Systems Score,Interior Score,Exterior Score,Wear Score,Composite_Score,Value_Score,Depreciation_Category,Meter Tampered,Flooded,Price (INR)
5,4,2021,5,49000,9800,1,1,5,2,1,1,9.14,9.8,9.7,9.0,9.1,8.1,9.14,8.1,3,0,0,1277334
6,28,2021,4,57000,14250,1,0,4,2,2,0,9.0,9.8,9.6,8.6,8.7,8.3,9.0,6.5,2,0,0,689600
6,28,2023,2,11000,5500,4,0,4,2,1,0,9.72,9.9,9.9,9.8,9.6,9.4,9.72,7.9,1,0,0,683200
6,27,2023,3,45000,15000,4,0,4,2,1,0,9.24,9.8,9.7,9.2,8.9,8.6,9.24,7.1,2,0,0,850364
6,27,2019,6,35000,5833,4,1,2,0,1,1,9.1,9.9,9.7,8.9,8.6,8.4,9.1,8.4,3,0,0,984800
6,27,2020,5,103000,20600,4,1,2,2,1,0,8.72,9.6,9.2,8.1,8.4,8.3,8.72,6.7,4,0,0,875200
6,27,2021,4,72000,18000,4,1,2,2,1,0,8.92,9.7,9.4,8.9,8.8,7.8,8.92,6.8,3,0,0,972800
6,27,2021,4,103000,25750,4,1,2,2,1,0,8.52,9.6,8.5,8.3,8.3,7.9,8.52,6.6,3,0,0,884000
6,27,2020,5,92000,18400,4,1,2,0,1,0,8.78,9.7,9.3,8.6,8.1,8.2,8.78,6.8,4,0,0,881564
14,30,2023,3,74000,24667,4,0,4,2,1,0,8.9,9.7,9.4,9.1,8.1,8.2,8.9,6.5,3,0,0,828800
10,19,2023,2,29000,14500,4,1,1,0,1,0,9.2,9.9,9.8,9.1,8.6,8.6,9.2,7.4,1,0,0,719200
6,27,2021,4,102000,25500,1,1,5,2,1,0,8.72,9.6,9.2,8.6,8.1,8.1,8.72,6.7,3,0,0,1024430
1,36,2024,2,23000,11500,1,1,2,1,1,1,9.38,9.9,9.8,9.3,9.3,8.6,9.38,8.2,1,0,0,3676286
14,30,2022,3,120000,40000,4,0,4,2,1,0,8.54,9.6,8.9,7.9,7.9,8.4,8.54,6.4,3,0,0,897600
6,28,2022,3,45000,15000,4,1,2,2,2,1,9.0,9.6,9.7,9.0,8.3,8.4,9.0,7.2,2,0,0,837600
13,20,2022,3,24000,8000,4,1,0,2,1,0,9.36,9.9,9.8,9.5,9.2,8.4,9.36,7.7,2,0,0,660800
6,28,2021,4,44000,11000,1,1,5,2,1,0,8.9,9.7,9.5,8.9,8.6,7.8,8.9,7.5,2,0,0,739200
6,27,2021,4,82000,20500,4,1,2,2,1,0,8.74,9.7,9.4,8.1,8.7,7.8,8.74,6.8,3,0,0,940000
9,24,2017,8,95000,11875,1,0,4,1,1,0,8.6,9.3,9.4,8.2,8.1,8.0,8.6,7.0,4,0,0,471200
6,28,2021,4,53000,13250,1,0,4,0,1,1,9.0,9.7,9.3,8.9,8.8,8.3,9.0,7.5,2,0,0,803244
6,27,2023,2,49000,24500,4,0,4,2,1,1,9.65,9.8,9.7,9.1,8.7,10.0,9.492,7.3,1,0,0,1029600
6,27,2020,5,74000,14800,1,0,4,2,1,0,8.92,9.7,9.5,8.8,8.5,8.1,8.92,6.9,3,0,0,928800
6,27,2020,5,80000,16000,4,1,2,2,2,0,9.14,9.7,9.5,9.0,8.8,8.7,9.14,6.4,3,0,0,839200
6,27,2020,5,110000,22000,4,1,2,2,2,1,8.66,9.6,9.2,8.7,8.0,7.8,8.66,6.7,4,0,0,817600
4,5,2022,3,102000,34000,4,1,1,2,1,0,8.78,9.6,9.3,8.6,8.4,8.0,8.78,6.8,3,0,0,968764
14,30,2023,3,50000,16667,4,0,4,2,1,1,9.12,9.6,9.7,8.7,9.1,8.5,9.12,7.1,2,0,0,864000
6,28,2021,4,30000,7500,1,0,4,0,1,0,9.16,9.9,9.0,9.2,8.9,8.8,9.16,7.6,2,0,0,835200
6,27,2020,5,120000,24000,1,1,5,2,2,0,8.58,9.6,9.1,7.6,8.1,8.5,8.58,6.2,4,0,0,876000
6,27,2022,3,54000,18000,4,1,1,2,1,0,9.12,9.8,9.6,9.1,8.9,8.2,9.12,6.9,2,0,0,1022400
6,28,2022,3,69000,23000,1,0,4,2,1,0,8.82,9.6,9.4,8.7,8.4,8.0,8.82,6.5,3,0,0,726400
6,27,2020,5,66000,13200,4,0,4,2,1,1,9.1,9.8,9.6,8.9,8.9,8.3,9.1,7.5,3,0,0,816000
6,27,2021,4,120000,30000,1,1,5,1,1,1,8.7,9.5,8.5,8.2,8.7,8.6,8.7,7.2,3,0,0,1007200
14,30,2022,3,62000,20667,4,0,4,2,1,0,9.12,9.8,9.6,9.1,8.8,8.3,9.12,6.6,3,0,0,764800
2,8,2015,10,143000,14300,1,0,4,1,1,0,8.54,9.5,9.1,8.1,7.6,8.4,8.54,6.7,4,0,0,347200
6,28,2023,2,35000,17500,4,1,2,2,1,1,9.3,9.9,9.7,9.3,9.4,8.2,9.3,7.5,2,0,0,957600
2,8,2016,9,111000,12333,4,0,4,1,1,1,8.76,9.6,9.2,8.3,8.1,8.6,8.76,7.3,4,0,0,410400
13,20,2023,2,28000,14000,4,0,4,0,1,0,9.34,9.9,9.8,8.6,9.4,9.0,9.34,7.1,1,0,0,847164
2,8,2016,9,132000,14667,1,0,4,1,1,0,8.12,9.1,8.4,7.2,7.9,8.0,8.12,6.5,4,0,0,444000
4,0,2023,3,70000,23333,1,0,4,2,1,0,9.06,9.7,9.1,9.0,9.0,8.5,9.06,6.6,3,0,0,1195164
13,20,2022,3,41000,13667,4,1,0,2,1,0,9.0,9.8,9.6,9.1,8.5,8.0,9.0,7.3,2,0,0,806400
11,17,2022,3,45000,15000,4,1,1,2,1,0,9.26,9.8,9.7,9.4,9.1,8.3,9.26,7.4,2,0,0,619200
6,27,2021,4,84000,21000,4,1,1,2,2,0,8.72,9.7,9.4,8.7,8.4,7.4,8.72,6.2,3,0,0,790400
6,27,2022,3,41000,13667,4,1,2,2,1,0,9.08,9.6,9.6,9.4,8.8,8.0,9.08,7.3,2,0,0,1154400
8,38,2018,7,76000,10857,1,1,5,1,1,0,8.8,9.3,9.5,8.3,8.6,8.3,8.8,7.4,4,0,0,973522
9,2,2024,2,20000,10000,4,0,4,2,2,1,9.66,9.9,9.9,9.7,9.5,9.3,9.66,7.5,1,0,0,843200
13,20,2023,2,49000,24500,1,0,4,2,1,1,9.08,9.8,9.7,8.9,8.4,8.6,9.08,7.1,2,0,0,744000
6,28,2020,5,43000,8600,4,1,2,2,1,1,9.14,9.7,9.7,9.0,8.8,8.5,9.14,8.1,3,0,0,751200
11,17,2022,3,93000,31000,4,0,4,2,1,0,8.72,9.7,9.3,8.3,8.2,8.1,8.72,6.4,3,0,0,459200
6,27,2019,6,106000,17667,4,1,2,2,1,0,8.48,9.6,9.2,8.2,8.0,7.4,8.48,6.6,4,0,0,810400
6,27,2020,6,109000,18167,4,1,2,2,2,0,8.46,9.6,8.8,7.8,8.1,8.0,8.46,6.1,4,0,0,767200
6,27,2020,6,90000,15000,4,1,2,1,1,0,8.56,9.7,9.3,7.7,8.0,8.1,8.56,7.1,3,0,0,854400
9,12,2023,2,88000,44000,4,1,5,2,1,0,8.56,9.7,9.4,8.5,7.9,7.3,8.56,6.7,2,0,0,763200
11,17,2021,4,50000,12500,4,1,1,0,1,0,8.82,9.8,9.4,8.2,8.5,8.2,8.82,7.2,2,0,0,584800
4,5,2020,5,52000,10400,1,0,4,2,2,0,9.18,9.7,9.5,9.3,8.9,8.5,9.18,6.8,3,0,0,1013564
6,27,2022,3,49000,16333,1,1,5,2,2,1,9.22,9.8,9.6,9.4,9.1,8.2,9.22,7.0,2,0,0,1169600
13,20,2022,3,105000,35000,1,0,4,2,1,0,8.52,9.3,8.4,8.5,7.8,8.6,8.52,6.3,3,0,0,672800
6,27,2019,6,64000,10667,4,0,4,1,1,1,8.96,9.8,9.4,9.0,8.6,8.0,8.96,7.8,3,0,0,868000
9,34,2017,8,105000,13125,1,0,4,1,1,0,8.6,9.6,9.3,8.3,7.7,8.1,8.6,6.8,4,0,0,555200
7,15,2021,4,51000,12750,1,0,4,2,1,0,8.98,9.8,8.9,8.9,8.9,8.4,8.98,7.0,2,0,0,1142321
7,15,2022,3,62000,20667,4,1,2,2,1,0,8.88,9.7,9.3,8.9,8.1,8.4,8.88,6.8,3,0,0,1175164
6,28,2021,4,46000,11500,1,0,4,1,1,0,9.04,9.7,9.5,8.8,9.0,8.2,9.04,7.3,2,0,0,740000
9,12,2024,2,12000,6000,4,0,4,0,1,1,9.6,9.9,9.9,9.8,9.2,9.2,9.6,8.3,1,0,0,801600
4,5,2019,7,92000,13143,1,1,5,1,1,1,8.48,9.5,8.9,8.3,7.7,8.0,8.48,7.5,4,0,0,800800
6,27,2020,5,46000,9200,4,0,4,2,1,1,8.94,9.8,9.6,8.6,8.4,8.3,8.94,7.7,3,0,0,820800
6,27,2023,2,49000,24500,4,0,4,2,1,0,9.04,9.8,9.7,9.1,8.4,8.2,9.04,6.6,2,0,0,1177600
14,30,2022,3,64000,21333,4,0,4,2,1,0,9.1,9.8,9.6,9.2,8.5,8.4,9.1,6.6,3,0,0,763200
6,27,2019,6,37000,6167,4,1,2,1,1,0,8.84,9.9,9.6,8.7,8.1,7.9,8.84,7.8,3,0,0,912000
4,5,2018,7,48000,6857,4,0,4,1,1,0,8.98,9.8,9.7,8.8,8.4,8.2,8.98,7.6,3,0,0,770400
2,8,2015,10,146000,14600,1,0,4,1,1,1,8.5,9.4,9.0,8.0,7.7,8.4,8.5,7.2,4,0,0,382400
8,37,2022,3,47000,15667,1,0,4,2,1,1,8.96,9.8,8.8,8.9,8.8,8.5,8.96,7.5,2,0,0,824800
6,27,2022,3,99000,33000,1,0,4,2,1,0,8.76,9.4,9.1,8.3,8.6,8.4,8.76,6.4,3,0,0,951710
9,13,2023,3,94000,31333,4,0,4,2,1,0,8.9,9.7,9.4,8.9,8.2,8.3,8.9,6.5,3,0,0,922635
11,7,2018,7,86000,12286,1,0,4,0,1,1,8.78,9.6,9.2,8.3,8.6,8.2,8.78,7.4,4,0,0,527200
8,31,2025,0,5000,5000,4,1,5,0,1,0,9.82,10.0,9.9,9.9,9.8,9.5,9.82,8.2,1,0,0,1709522
8,39,2022,3,44000,14667,1,1,5,2,1,0,9.26,9.8,9.7,9.2,8.8,8.8,9.26,7.4,2,0,0,1662322
11,17,2022,3,45000,15000,4,0,4,2,1,0,9.22,9.8,9.7,9.1,9.2,8.3,9.22,7.1,2,0,0,541600
2,8,2017,8,128000,16000,1,0,4,1,2,0,8.58,9.5,9.0,8.1,7.9,8.4,8.58,5.9,4,0,0,423200
11,3,2018,8,95000,11875,1,0,4,1,1,0,8.52,9.3,9.3,7.5,8.1,8.4,8.52,7.0,4,0,0,454500
6,27,2020,5,112000,22400,1,1,5,0,1,0,8.22,9.5,8.9,7.2,7.6,7.9,8.22,6.5,4,0,0,848800
6,27,2023,2,37000,18500,4,1,2,0,1,1,9.32,9.9,9.7,9.5,9.0,8.5,9.32,7.5,2,0,0,1343200
6,28,2023,2,57000,28500,1,0,4,2,1,0,8.96,9.7,8.8,9.1,9.1,8.1,8.96,6.5,2,0,0,759200
13,21,2024,2,32000,16000,4,0,4,0,1,1,9.42,9.9,9.8,9.5,9.0,8.9,9.42,7.3,2,0,0,654400
7,15,2020,5,80000,16000,3,0,4,2,2,0,8.86,9.7,9.5,8.2,8.8,8.1,8.86,6.0,3,0,0,767200
3,9,2023,2,40000,20000,4,0,4,2,1,1,9.2,9.8,9.7,9.2,9.1,8.2,9.2,7.2,2,0,0,892800
9,2,2022,3,47000,15667,4,1,5,2,1,0,8.94,9.8,9.7,8.6,8.7,7.9,8.94,7.2,2,0,0,825600
14,30,2023,2,18000,9000,4,0,4,2,1,0,9.58,9.9,9.9,9.7,9.2,9.2,9.58,7.5,1,0,0,904776
9,2,2023,2,71000,35500,4,0,4,2,1,0,9.04,9.7,9.5,9.1,8.6,8.3,9.04,6.6,2,0,0,817600
12,18,2022,3,102000,34000,4,1,3,1,2,0,8.86,9.6,9.2,8.6,8.6,8.3,8.86,6.3,3,0,0,945564
11,17,2022,3,29000,9667,4,1,1,2,1,0,9.22,9.8,9.7,9.2,8.9,8.5,9.22,7.7,2,0,0,649600
9,2,2022,3,55000,18333,4,0,4,2,2,1,9.06,9.8,9.6,9.0,8.6,8.3,9.06,6.6,2,0,0,740000
8,37,2023,2,28000,14000,4,0,4,2,1,0,9.4,9.9,9.8,9.1,9.2,9.0,9.4,7.1,1,0,0,798400
7,15,2022,3,39000,13000,4,1,2,1,1,1,9.26,9.8,9.7,9.2,9.1,8.5,9.26,7.9,2,0,0,1241600
8,16,2018,7,36000,5143,4,0,4,1,1,0,8.72,9.7,9.3,7.8,8.6,8.2,8.72,7.4,3,0,0,287200
13,20,2021,4,63000,15750,4,1,0,2,1,1,8.78,9.5,9.0,8.6,8.7,8.1,8.78,7.6,3,0,0,670400
4,5,2018,7,49000,7000,4,0,4,1,2,1,9.1,9.8,9.6,9.0,8.5,8.6,9.1,7.6,3,0,0,660800
4,5,2018,7,100000,14286,4,0,4,1,1,0,8.9,9.6,9.3,8.6,8.5,8.5,8.9,6.9,4,0,0,612000
13,20,2022,3,32000,10667,1,1,0,2,1,0,9.2,9.9,9.7,9.3,8.6,8.5,9.2,7.7,2,0,0,886215
9,34,2020,5,68000,13600,4,1,5,0,1,0,8.68,9.5,9.4,8.3,8.1,8.1,8.68,7.1,3,0,0,661600
11,17,2021,4,21000,5250,4,1,0,2,1,1,9.24,9.8,9.5,9.1,8.9,8.9,9.24,8.5,2,0,0,496800
9,34,2021,4,37000,9250,4,1,5,2,1,0,8.92,9.8,9.7,8.7,8.3,8.1,8.92,7.5,2,0,0,666400
9,34,2022,3,41000,13667,4,0,4,2,1,1,9.24,9.8,9.7,9.0,8.8,8.9,9.24,7.6,2,0,0,707200
6,28,2023,2,50000,25000,4,1,2,0,1,0,9.06,9.6,9.5,9.3,8.5,8.4,9.06,6.9,2,0,0,781600
6,27,2020,5,89000,17800,4,1,2,2,2,0,8.92,9.7,9.1,8.7,8.7,8.4,8.92,6.3,3,0,0,829600
10,19,2022,3,54000,18000,4,1,1,2,1,0,8.98,9.8,9.5,8.8,8.8,8.0,8.98,6.9,2,0,0,611200
4,5,2022,3,93000,31000,4,1,1,2,1,0,8.98,9.7,9.4,8.9,8.7,8.2,8.98,6.8,3,0,0,963200
4,33,2023,2,20000,10000,4,1,2,2,1,0,9.54,9.9,9.9,9.7,9.5,8.7,9.54,7.8,1,0,0,919177
8,39,2022,3,49000,16333,1,0,4,2,1,1,8.78,9.8,9.7,8.3,8.4,7.7,8.78,7.0,2,0,0,1581600
8,39,2023,2,98000,49000,1,1,5,0,1,0,8.72,9.5,9.4,8.3,8.4,8.0,8.72,6.7,3,0,0,1603200
10,19,2023,2,37000,18500,4,1,1,1,1,1,9.46,9.9,9.7,9.6,9.6,8.5,9.46,7.6,2,0,0,689600
4,5,2020,5,107000,21400,4,1,2,0,1,0,8.52,9.6,9.2,8.0,8.3,7.5,8.52,6.6,4,0,0,893601
8,39,2022,3,113000,37667,4,1,5,2,1,0,8.78,9.6,9.1,8.5,8.5,8.2,8.78,6.8,3,0,0,1187200
4,5,2023,3,43000,14333,4,1,2,2,1,0,9.08,9.8,9.6,8.8,8.9,8.3,9.08,7.3,2,0,0,1177600
9,24,2018,7,66000,9429,1,0,4,1,1,0,8.88,9.7,9.6,8.9,8.2,8.0,8.88,7.2,4,0,0,594400
11,17,2025,3,23000,7667,4,1,1,2,1,0,9.12,9.3,9.6,9.2,9.5,8.0,9.12,7.8,2,0,0,609600
6,27,2020,5,101000,20200,4,0,4,2,1,1,8.5,9.4,9.3,8.0,7.6,8.2,8.5,6.8,4,0,0,670400
8,37,2021,3,37000,12333,4,0,4,1,1,0,9.24,9.9,9.8,9.2,8.4,8.9,9.24,7.1,2,0,0,740000
14,30,2022,3,18000,6000,4,0,4,2,1,0,9.5,9.9,9.9,9.4,9.2,9.1,9.5,7.8,2,0,0,832000
14,30,2025,1,11000,11000,4,0,4,0,1,0,9.52,9.9,9.9,9.5,9.1,9.2,9.52,7.5,1,0,0,1068800
9,13,2023,3,59000,19667,4,0,4,2,2,0,9.22,9.8,9.6,9.0,9.2,8.5,9.22,6.2,2,0,0,988000
4,0,2023,2,25000,12500,1,0,4,0,1,0,9.54,9.9,9.7,9.6,9.5,9.0,9.54,7.2,1,0,0,1358135
7,15,2020,5,93000,18600,1,0,4,2,1,0,8.62,9.5,9.1,8.7,8.5,7.3,8.62,6.4,4,0,0,871200
4,5,2021,4,54000,13500,4,1,2,0,1,0,8.7,9.8,9.5,8.0,8.1,8.1,8.7,7.1,2,0,0,1090400
4,5,2016,9,112000,12444,4,0,4,1,1,0,8.64,9.6,9.1,7.9,7.7,8.9,8.64,6.8,4,0,0,534400
6,27,2022,3,47000,15667,4,1,2,1,1,1,9.14,9.8,9.6,9.3,8.8,8.2,9.14,7.8,2,0,0,1120800
7,15,2021,5,57000,11400,1,0,4,2,1,1,9.18,9.8,9.4,9.2,9.0,8.5,9.18,7.8,3,0,0,999200
10,19,2023,2,70000,35000,4,0,4,2,1,0,8.72,9.7,9.3,8.2,8.5,7.9,8.72,6.4,2,0,0,517600
13,21,2022,3,27000,9000,4,1,0,2,1,0,9.34,9.8,9.7,9.6,9.3,8.3,9.34,7.7,2,0,0,613600
9,24,2016,9,100000,11111,1,0,4,1,2,0,8.5,9.5,9.1,7.7,7.8,8.4,8.5,6.5,4,0,0,474400
8,38,2018,7,102000,14571,1,1,5,1,1,0,8.36,9.3,9.2,8.1,7.6,7.6,8.36,6.9,4,0,0,935922
11,17,2023,2,25000,12500,4,0,4,2,1,1,9.54,9.9,9.8,9.3,9.5,9.2,9.54,7.7,1,0,0,502400
12,18,2023,2,25000,12500,4,0,4,2,2,0,9.5,9.9,9.8,9.4,9.4,9.0,9.5,6.7,1,0,0,821600
4,5,2017,8,123000,15375,4,0,4,0,1,0,8.54,9.5,9.1,7.6,7.7,8.8,8.54,6.7,4,0,0,543200
9,2,2023,2,41000,20500,4,1,5,2,1,0,9.2,9.8,9.6,9.2,9.1,8.3,9.2,7.0,2,0,0,936800
4,5,2023,2,15000,7500,4,0,4,0,1,0,9.6,9.9,9.9,9.5,9.4,9.3,9.6,7.8,1,0,0,901600
9,24,2016,10,131000,13100,1,0,4,1,2,0,8.16,9.0,8.8,7.7,6.9,8.4,8.16,6.0,4,0,0,367200
2,8,2013,12,117000,9750,1,0,4,1,1,0,8.54,9.4,8.9,8.0,7.7,8.7,8.54,7.0,4,0,0,316800
8,31,2024,1,15000,15000,1,0,4,1,1,1,9.68,9.9,9.9,9.7,9.5,9.4,9.68,7.8,1,0,0,1247200
9,13,2024,1,24000,24000,3,1,1,2,1,0,9.46,9.9,9.7,9.7,9.1,8.9,9.46,7.1,1,0,0,1360766
8,26,2023,2,55000,27500,4,1,5,1,1,0,9.2,9.8,9.6,9.4,9.1,8.1,9.2,7.0,2,0,0,1498400
4,0,2023,2,30000,15000,4,1,2,2,1,0,9.34,9.9,9.7,9.4,9.1,8.6,9.34,7.4,1,0,0,1453600
12,18,2021,4,112000,28000,4,1,5,1,1,0,8.66,9.6,9.2,8.1,8.2,8.2,8.66,6.7,3,0,0,729600
8,39,2021,4,95000,23750,4,1,5,2,1,1,8.96,9.7,9.3,8.5,8.5,8.8,8.96,7.3,3,0,0,1095200
11,17,2022,3,89000,29667,4,1,0,2,1,1,8.84,9.4,8.9,8.6,8.8,8.5,8.84,7.2,3,0,0,448800
2,8,2021,4,61000,15250,4,1,5,2,1,0,9.04,9.8,9.6,9.0,8.9,7.9,9.04,7.3,3,0,0,680800
6,28,2023,2,35000,17500,1,1,5,2,1,0,9.4,9.8,9.8,9.3,9.3,8.8,9.4,7.0,2,0,0,1047200
13,21,2022,3,16000,5333,4,1,0,2,1,1,9.54,9.9,9.8,9.2,9.5,9.3,9.54,8.6,2,0,0,619200
7,15,2020,6,45000,7500,4,0,4,2,1,0,9.12,9.8,9.5,9.2,8.6,8.5,9.12,7.6,3,0,0,836800
6,27,2022,3,58000,19333,1,1,5,2,1,0,8.98,9.6,9.2,8.7,9.0,8.4,8.98,6.8,2,0,0,1201600
11,17,2023,2,21000,10500,4,0,4,0,1,0,9.42,9.8,9.7,9.6,9.1,8.9,9.42,7.4,1,0,0,527200
11,7,2020,5,46000,9200,4,0,4,2,1,0,9.2,9.8,9.7,9.0,8.9,8.6,9.2,7.4,3,0,0,604800
9,34,2018,7,125000,17857,1,1,0,1,1,0,8.0,9.1,7.7,7.4,7.8,8.0,8.0,6.4,4,0,0,519200
8,31,2023,2,44000,22000,1,1,5,2,1,0,9.38,9.8,9.7,9.4,9.5,8.5,9.38,7.0,2,0,0,1135200
4,5,2017,9,110000,12222,4,1,5,1,1,0,8.62,9.5,9.0,8.5,8.0,8.1,8.62,7.1,4,0,0,596000
3,35,2019,6,46000,7667,0,0,4,1,1,0,8.92,9.8,9.5,8.7,8.6,8.0,8.92,8.0,3,0,0,511200
8,39,2023,2,54000,27000,1,0,4,0,1,0,9.28,9.8,9.6,9.2,9.1,8.7,9.28,6.7,2,0,0,1301600
4,32,2022,3,19000,6333,4,1,5,2,1,0,9.56,9.9,9.9,9.7,9.5,8.8,9.56,8.1,2,0,0,2007200
8,29,2018,7,95000,13571,1,0,4,1,1,0,9.1,9.7,9.4,8.7,8.9,8.8,9.1,7.0,4,0,0,472800
4,5,2025,0,11000,11000,4,0,4,2,1,1,9.68,9.9,9.8,9.9,9.3,9.5,9.68,8.1,1,0,0,902400
4,5,2024,2,26000,13000,1,0,4,2,1,0,9.44,9.9,9.8,9.3,9.4,8.8,9.44,7.2,1,0,0,1167164
6,28,2022,4,46000,11500,1,1,5,2,1,1,8.64,9.8,8.6,9.1,7.6,8.1,8.64,7.9,2,0,0,792800
9,2,2022,3,40000,13333,4,0,4,2,1,0,9.28,9.8,9.7,9.2,9.1,8.6,9.28,7.1,2,0,0,727200
13,21,2025,1,27000,27000,2,1,6,0,1,0,9.0,9.8,9.5,8.9,8.7,8.350000000000001,9.042,1.6,2,1,1,759200
2,8,2019,6,105000,17500,1,0,4,1,3,0,8.48,9.2,8.8,8.6,8.3,7.5,8.48,5.3,4,0,0,421600
8,31,2021,4,52000,13000,1,0,4,1,1,0,9.18,9.8,9.7,9.1,8.8,8.5,9.18,7.0,2,0,0,931122
6,28,2023,2,15000,7500,4,1,2,2,2,1,9.34,9.9,9.8,9.4,8.9,8.7,9.34,8.0,1,0,0,800800
4,0,2021,4,67000,16750,1,1,5,2,1,1,8.88,9.6,9.5,8.9,8.3,8.1,8.88,7.3,3,0,0,1171200
6,27,2022,3,103000,34333,1,0,4,2,1,1,8.64,9.5,9.2,8.2,8.1,8.2,8.64,6.9,3,0,0,978400
13,20,2021,4,58000,14500,4,0,4,0,1,0,8.64,9.2,9.1,8.3,8.1,8.5,8.64,6.7,2,0,0,438400
4,33,2022,3,27000,9000,4,0,4,2,1,0,9.28,9.9,9.8,9.1,9.0,8.6,9.28,7.4,2,0,0,701600
13,20,2024,1,19000,19000,2,1,6,2,1,1,9.0,9.8,9.5,8.9,8.7,8.350000000000001,9.042,2.0,2,1,1,10784
8,39,2022,3,72000,24000,1,0,4,2,1,0,9.18,9.7,9.5,9.1,8.9,8.7,9.18,6.6,3,0,0,1491122
4,33,2019,6,106000,17667,1,0,4,1,1,0,8.7,9.6,9.3,8.3,8.1,8.2,8.7,6.4,4,0,0,640800
13,21,2023,3,50000,16667,4,1,0,2,1,1,9.06,9.7,9.6,9.1,9.0,7.9,9.06,7.4,2,0,0,545600
8,31,2021,4,60000,15000,1,1,5,2,2,0,8.88,9.6,9.6,9.0,8.4,7.8,8.88,6.7,2,0,0,957522
2,8,2018,7,53000,7571,1,0,4,0,1,1,9.2,9.8,9.6,9.0,9.0,8.6,9.2,8.2,3,0,0,530400
2,8,2014,12,129000,10750,1,0,4,1,3,0,7.94,9.5,8.3,7.3,7.2,7.4,7.94,5.8,4,0,0,251200
4,33,2020,6,65000,10833,4,1,2,1,1,1,8.84,9.7,9.6,8.9,8.2,7.8,8.84,8.0,3,0,0,598400
